"tuning_time","measurement","gpu","kernel","time","size"
5.908134,1.11189103127,"GTX-980","Pathfinder","7200","default"
457.663313,1.10864941279,"GTX-980","Pathfinder","7200","default"
463.567586,1.10634557406,"GTX-980","Pathfinder","7200","default"
980.237558,1.09941569964,"GTX-980","Pathfinder","7200","default"
6876.67216,1.09544006983,"GTX-980","Pathfinder","7200","default"
11.67458,3.07455722491,"GTX-980","Quicksort","7200","65536"
125.541076,3.05953097343,"GTX-980","Quicksort","7200","65536"
3179.11778,3.05763737361,"GTX-980","Quicksort","7200","65536"
3669.071037,3.05024806658,"GTX-980","Quicksort","7200","65536"
8.263062,9999,"GTX-980","SubSeqMax","7200","1073741824"
6.629361,1.37054260572,"GTX-980","VecAdd","7200","4194304"
12.466978,1.15899689992,"GTX-980","VecAdd","7200","4194304"
18.259,1.13930034637,"GTX-980","VecAdd","7200","4194304"
24.046218,1.13588706652,"GTX-980","VecAdd","7200","4194304"
41.675956,1.13084236781,"GTX-980","VecAdd","7200","4194304"
47.462542,1.1220916907,"GTX-980","VecAdd","7200","4194304"
581.97645,1.11652199427,"GTX-980","VecAdd","7200","4194304"
1816.271496,1.11337796847,"GTX-980","VecAdd","7200","4194304"
8.169707,9999,"GTX-750","b+tree","7200","default"
90.807837,2.24927481016,"GTX-750","b+tree","7200","default"
113.881489,2.22801160812,"GTX-750","b+tree","7200","default"
304.073788,2.21627664566,"GTX-750","b+tree","7200","default"
385.727832,2.19371732076,"GTX-750","b+tree","7200","default"
531.842701,2.1928563118,"GTX-750","b+tree","7200","default"
1435.739007,2.16965675354,"GTX-750","b+tree","7200","default"
1593.211953,2.14238246282,"GTX-750","b+tree","7200","default"
4623.981664,2.14100003242,"GTX-750","b+tree","7200","default"
3.744656,9999,"GTX-750","backprop","7200","default"
25.95649,0.744340419769,"GTX-750","backprop","7200","default"
30.760384,0.738935073217,"GTX-750","backprop","7200","default"
46.570276,0.711903413137,"GTX-750","backprop","7200","default"
219.434052,0.707880417506,"GTX-750","backprop","7200","default"
6356.544251,0.706771294276,"GTX-750","backprop","7200","default"
4.854621,0.710011323293,"GTX-750","bfs","7200","default"
9.375036,0.708040714264,"GTX-750","bfs","7200","default"
18.680455,0.697038968404,"GTX-750","bfs","7200","default"
23.18461,0.691096703211,"GTX-750","bfs","7200","default"
27.703962,0.683604399363,"GTX-750","bfs","7200","default"
180.303981,0.680705785751,"GTX-750","bfs","7200","default"
225.133796,0.677978595098,"GTX-750","bfs","7200","default"
502.367235,0.676842689514,"GTX-750","bfs","7200","default"
692.776084,0.672930637995,"GTX-750","bfs","7200","default"
1254.86574,0.67281627655,"GTX-750","bfs","7200","default"
1676.977819,0.670442740122,"GTX-750","bfs","7200","default"
1772.691194,0.66871102651,"GTX-750","bfs","7200","default"
5.616074,1.00048708916,"GTX-750","Bitonic","7200","4194304"
11.070506,0.992899974187,"GTX-750","Bitonic","7200","4194304"
46.263298,0.985146999359,"GTX-750","Bitonic","7200","4194304"
79.048029,0.983192284902,"GTX-750","Bitonic","7200","4194304"
266.805754,0.975943009059,"GTX-750","Bitonic","7200","4194304"
609.68277,0.97530968984,"GTX-750","Bitonic","7200","4194304"
821.673901,0.975048700968,"GTX-750","Bitonic","7200","4194304"
871.291273,0.97380900383,"GTX-750","Bitonic","7200","4194304"
1309.444969,0.973187367121,"GTX-750","Bitonic","7200","4194304"
1348.206253,0.970928430557,"GTX-750","Bitonic","7200","4194304"
2721.72862,0.970895767212,"GTX-750","Bitonic","7200","4194304"
4154.626727,0.967919270198,"GTX-750","Bitonic","7200","4194304"
5902.818642,0.96654009819,"GTX-750","Bitonic","7200","4194304"
14.885495,4.05388394992,"GTX-750","gaussian","7200","default"
29.579808,4.05229902267,"GTX-750","gaussian","7200","default"
44.271347,4.03075472514,"GTX-750","gaussian","7200","default"
1341.22897,4.02622024218,"GTX-750","gaussian","7200","default"
5.541259,0.898048321406,"GTX-750","heartwall-old","7200","default"
17.2107,0.898048321406,"GTX-750","heartwall-old","7200","default"
29.219365,0.88498878479,"GTX-750","heartwall-old","7200","default"
42.87804,0.883289893468,"GTX-750","heartwall-old","7200","default"
180.068829,0.878636757533,"GTX-750","heartwall-old","7200","default"
460.955078,0.877688884735,"GTX-750","heartwall-old","7200","default"
709.152354,0.877345005671,"GTX-750","heartwall-old","7200","default"
1323.560683,0.86759964625,"GTX-750","heartwall-old","7200","default"
9.685511,2.09814842542,"GTX-750","heartwall-original","7200","default"
29.681909,2.05005232493,"GTX-750","heartwall-original","7200","default"
51.647304,2.04959305127,"GTX-750","heartwall-original","7200","default"
60.670466,1.94902865092,"GTX-750","heartwall-original","7200","default"
68.023605,1.39418570201,"GTX-750","heartwall-original","7200","default"
