"tuned_measurement","gpu","kernel","time","size","olevel","baseline_measurement","id"
1.14676618576,"GTX-980","VecAdd","7200","4194304","-1",NA,"benchmark"
1.1564180851,"GTX-980","VecAdd","7200","4194304","-1",NA,"benchmark"
1.11593008041,"GTX-980","VecAdd","7200","4194304","-1",NA,"benchmark"
1.1162788868,"GTX-980","VecAdd","7200","4194304","-1",NA,"benchmark"
NA,"GTX-980","b+tree","-1","default","0",2.40758514404,"baseline"
NA,"GTX-980","b+tree","-1","default","0",2.36485695839,"baseline"
NA,"GTX-980","b+tree","-1","default","0",2.38205385208,"baseline"
NA,"GTX-980","b+tree","-1","default","0",2.23830413818,"baseline"
NA,"GTX-980","b+tree","-1","default","0",2.40444207191,"baseline"
NA,"GTX-980","b+tree","-1","default","0",2.39233803749,"baseline"
NA,"GTX-980","b+tree","-1","default","0",2.39674305916,"baseline"
NA,"GTX-980","b+tree","-1","default","0",2.36635088921,"baseline"
NA,"GTX-980","b+tree","-1","default","1",2.40272402763,"baseline"
NA,"GTX-980","b+tree","-1","default","1",2.38128900528,"baseline"
NA,"GTX-980","b+tree","-1","default","1",2.36733293533,"baseline"
NA,"GTX-980","b+tree","-1","default","1",2.38477492332,"baseline"
NA,"GTX-980","b+tree","-1","default","1",2.39222598076,"baseline"
NA,"GTX-980","b+tree","-1","default","1",2.38792705536,"baseline"
NA,"GTX-980","b+tree","-1","default","1",2.41232395172,"baseline"
NA,"GTX-980","b+tree","-1","default","1",2.42022705078,"baseline"
NA,"GTX-980","b+tree","-1","default","2",2.38816809654,"baseline"
NA,"GTX-980","b+tree","-1","default","2",2.36706900597,"baseline"
NA,"GTX-980","b+tree","-1","default","2",2.34943985939,"baseline"
NA,"GTX-980","b+tree","-1","default","2",2.3694498539,"baseline"
NA,"GTX-980","b+tree","-1","default","2",2.43764305115,"baseline"
NA,"GTX-980","b+tree","-1","default","2",2.39077091217,"baseline"
NA,"GTX-980","b+tree","-1","default","2",2.40614414215,"baseline"
NA,"GTX-980","b+tree","-1","default","2",2.39246797562,"baseline"
NA,"GTX-980","b+tree","-1","default","3",2.40451002121,"baseline"
NA,"GTX-980","b+tree","-1","default","3",2.35883617401,"baseline"
NA,"GTX-980","b+tree","-1","default","3",2.36697912216,"baseline"
NA,"GTX-980","b+tree","-1","default","3",2.41455817223,"baseline"
NA,"GTX-980","b+tree","-1","default","3",2.41640782356,"baseline"
NA,"GTX-980","b+tree","-1","default","3",2.41060805321,"baseline"
NA,"GTX-980","b+tree","-1","default","3",2.37084293365,"baseline"
NA,"GTX-980","b+tree","-1","default","3",2.36504197121,"baseline"
NA,"GTX-980","backprop","-1","default","0",0.990960836411,"baseline"
NA,"GTX-980","backprop","-1","default","0",0.997674226761,"baseline"
